"M_LABEL,""M__DATE_"",""TIMESTAMP"",""M_IDENTITY"",""M__INDEX_"",""M__REPLICAT_"",""M_INST"",""M_CALC"",""M_CUR"",""M_INDEX"",""M_ARCHGRP"",""M_CONTRACT"",""M_UNDERLYING"",""M_GENERATOR"",""M_SEC_MKT"",""M_ISSUE"",""M_CNTRPART"",""M_CATEGORY"",""M_USER"",""M_DESK"",""M_SPBGROUP"",""M_TYPOLOGY"",""M_USAGE"",""M_CURVETYPE"",""M_ENV"",""M_ONFSHORE"",""M_SHORTTERM"",""M_COLLATERAL"",""M_STYPO"",""M_SENIORITY"",""M_SECTOR"",""M_RATING"",""M_DFLT_TEMP"",""M_COUNTRY"",""M_CURVE"",""M_CHLD_PRMT"",""M_DLABEL"""
"HA_MAIN                                        ,07-JUL-25,,2499349,4497415,0,""Bond           "",""          "",""ARS"",""               "",""            "",""               "",""               "",0,""AR GOV    "",""               "",""               "",""          "",""          "",""          "",""          "",0,0,0,""          "",0,0,0,0,0,0,0,0,0,""           1057"",0,""ARS ONSHORE ZC                                                                                                                                                                                                                                                """
"HA_MAIN                                        ,07-JUL-25,,2499350,4497416,0,""FX             "",""          "",""SAR"",""               "",""            "",""EUB/SAR        "",""               "",0,""          "",""               "",""               "",""          "",""          "",""          "",""          "",0,0,0,""          "",0,0,0,0,0,0,0,0,0,""BRL :Std       "",0,""BRL PRE                                                                                                                                                                                                                                                       """
"HA_MAIN                                        ,07-JUL-25,,2499351,4497416,0,""FX             "",""          "",""BRL"",""               "",""            "",""               "",""               "",0,""          "",""               "",""               "",""          "",""          "",""          "",""          "",0,0,0,""          "",0,0,0,0,0,0,0,0,0,""           1089"",0,""BRL FX                                                                                                                                                                                                                                                        """
"HA_MAIN                                        ,07-JUL-25,,2499352,4497416,0,""FX             "",""          "",""BRL"",""               "",""            "",""EUR/BRL        "",""               "",0,""          "",""               "",""               "",""          "",""          "",""          "",""          "",0,0,0,""          "",0,0,0,0,0,0,0,0,0,""BRL :Std       "",0,""BRL PRE                                                                                                                                                                                                                                                       """
