"FILENAME","FILEPATHINMUREX","DESTINATIONFILEPATH","OWNEROFREPORT","STREAMOWNER","PROCESSINGSCRIPT","PROCESSINGSCRIPT_DESC","PROCESSINGUNIT","BATCHNAME","BATCHTYPE","BATCHNAME_DESC","GLOBALFILTER","SINGLE_EXTFEED_NAME","SINGLE_EXTFEED_DESC","SINGLE_EXTREQ_NAME","SINGLE_EXTREQ_DESC","EXTRACTIONTYPE","EXTRACTIONVIEW","TABLENAME","LABELMODE","SCANNERTEMPLATE","LABELOFDATA","LABELOFDATA_VALUE","COMMANDBEFORE","COMMANDAFTER","EXTRACTION_PARAMETERS"
"","","","","","ERM_EOD_RC_PS","EOD Risk Computation as of Yesterday (closing of business)","REP_BATCHES_FEED    ","ERM_FX-1_BF","batchOfFeeders","Batch of feeders for ERM_FX_F minus 1","ERM_FX_BF-1","ERM_FX_F","Data feeder for ERM_FX_DBF table","","","                    ","","Table:ERM_FX.REP","One data set","","MLC_EOD-1           ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_FX_DISC_BF","batchOfFeeders","Batch of feeders for ERM_FX_DISC_F","ERM_FX_DISC_BF","ERM_FX_DISC_F","Data feeder for ERM_FX_DISC_DBF table","","","                    ","","Table:ERM_FX_DISC.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_FX_DISC_BF","batchOfFeeders","Batch of feeders for ERM_FX_DISC_F","ERM_FX_DISC_BF","ERM_FX_DISC_F","Data feeder for ERM_FX_DISC_DBF table","","","                    ","","Table:ERM_FX_DISC.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_FX_DISC_BF","batchOfFeeders","Batch of feeders for ERM_FX_DISC_F","ERM_FX_DISC_BF","ERM_FX_DISC_F","Data feeder for ERM_FX_DISC_DBF table","","","                    ","","Table:ERM_FX_DISC.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_FX_DISC_BF","batchOfFeeders","Batch of feeders for ERM_FX_DISC_F","ERM_FX_DISC_BF","ERM_FX_DISC_F","Data feeder for ERM_FX_DISC_DBF table","","","                    ","","Table:ERM_FX_DISC.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","ERM_RTLIM_RESET","All steps involved in running a reset on the real time limits engine","REP_BATCHES_FEED    ","ERM_FX_DISC_BF","batchOfFeeders","Batch of feeders for ERM_FX_DISC_F","ERM_FX_DISC_BF","ERM_FX_DISC_F","Data feeder for ERM_FX_DISC_DBF table","","","                    ","","Table:ERM_FX_DISC.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","ERM_COL_RC_PS","COLLATERAL Risk Computation","REP_BATCHES_FEED    ","ERM_FX_DISC_BF","batchOfFeeders","Batch of feeders for ERM_FX_DISC_F","ERM_FX_DISC_BF","ERM_FX_DISC_F","Data feeder for ERM_FX_DISC_DBF table","","","                    ","","Table:ERM_FX_DISC.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
